id,run_id,status,exception_type,ground_truth_type,ai_verdict_correct,confidence,detected_reason,ai_explanation,recommended_action,related_txn_ids,reviewer,reviewed_at,investigated_at,ground_truth_label
1,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay payment and Ledger entry both record the gross amount of 19600.50 INR, whereas the Bank credit amount is 19208.49 INR. The difference of 392.01 INR represents the MDR/fee deducted during settlement, as explicitly stated in the bank line item description.",Confirm the 392.01 INR MDR fee against Razorpay fee reports and book a journal entry to record the merchant discount rate expense.,"[261, 409, 111]",,,2026-09-04T15:29:50.483906,Bank credit is net of MDR 392.01; gross 19600.50 vs net 19208.49
2,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay and ledger reflect the gross payment amount of INR 5400.50, whereas the bank credit is INR 5292.49 due to a deducted MDR fee of INR 108.01 as noted in the bank settlement description (5400.50 - 108.01 = 5292.49).",Record a journal entry in the ledger to account for the INR 108.01 MDR fee expense and match the net bank credit to the gross sales receipt.,"[262, 410, 112]",,,2026-09-04T15:29:50.501201,Bank credit is net of MDR 108.01; gross 5400.50 vs net 5292.49
3,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay and Ledger record the gross payment amount of 21,200.00 INR, while the Bank settlement reflects a net amount of 20,776.00 INR after deducting an MDR fee of 424.00 INR.",Verify MDR fee breakdown of 424.00 INR against the gateway settlement report and record the merchant discount fee expense to balance the reconciliation.,"[263, 411, 113]",,,2026-09-04T15:29:50.502737,Bank credit is net of MDR 424.00; gross 21200.00 vs net 20776.00
4,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay and Ledger both show the gross payment amount of 23900.00 INR, while the Bank record shows 23422.00 INR, which is net of a 478.00 INR MDR fee explicitly mentioned in the bank statement description.",Verify MDR rate agreement for Razorpay and record an accounting entry for the 478.00 INR bank fee expense to reconcile the gross receipt with the bank credit.,"[264, 412, 114]",,,2026-09-04T15:29:50.503922,Bank credit is net of MDR 478.00; gross 23900.00 vs net 23422.00
5,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay and Ledger both record the gross amount of 12700.00 INR, while the bank credited 12446.00 INR due to a deducted MDR/bank fee of 254.00 INR as noted in the bank description.",Verify the MDR rate of 254.00 INR against the Razorpay settlement statement and record a journal entry for the bank fee/commission expense to close the variance.,"[265, 413, 115]",,,2026-09-04T15:29:50.505022,Bank credit is net of MDR 254.00; gross 12700.00 vs net 12446.00
6,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay and Ledger both record the gross amount of INR 3200.00, while the Bank received INR 3136.00, which reflects the gross amount net of a 64.00 MDR fee as noted in the bank description.",Verify MDR fee breakdown in the Razorpay settlement report and record a ledger entry for the INR 64.00 bank charge.,"[266, 414, 116]",,,2026-09-04T15:29:50.506144,Bank credit is net of MDR 64.00; gross 3200.00 vs net 3136.00
7,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,1.0,NO_TRIPLE_MATCH,"Razorpay and Ledger records both reflect the gross transaction amount of 12000.00 INR, whereas the Bank record reflects a net credit of 11760.00 INR due to a deducted MDR/bank fee of 240.00 INR.",Verify the MDR rate schedule against the settlement advice for ORD-2026-0117 and book a 240.00 INR bank fee entry in the accounting ledger to match the gross receipt.,"[267, 415, 117]",,,2026-09-04T15:29:50.507228,Bank credit is net of MDR 240.00; gross 12000.00 vs net 11760.00
8,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,BANK_FEE,BANK_FEE,True,0.98,NO_TRIPLE_MATCH,"Razorpay and Ledger show the gross payment amount of 23500.00 INR, while the Bank settled 23030.00 INR net of a 470.00 INR MDR fee deduction.",Verify the MDR fee structure with Razorpay settlement report and record the 470.00 INR bank charge/fee entry in the accounting ledger to reconcile the bank account.,"[268, 416, 118]",,,2026-09-04T15:29:50.508193,Bank credit is net of MDR 470.00; gross 23500.00 vs net 23030.00
9,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,DUPLICATE_RECORD,DUPLICATE_RECORD,True,0.98,NO_TRIPLE_MATCH,"Order ORD-2026-0119 already has a complete matched triple (Razorpay pay_uTssKr82G5R0gi, Ledger JE-2026-0120-R, and Bank UTR604223253672) for 14800.00 INR. The second bank credit UTR946671168457 for 14800.00 INR is an extra duplicate posting.",Verify UTR946671168457 with the bank to confirm if it represents a duplicate credit entry and initiate a reversal or correction workflow if required.,[270],,,2026-09-04T15:29:50.509092,Second bank UTR posted for ORD-2026-0119 after a valid triple already exists
10,27da232e-53a9-4122-abaf-57ed6e10d6a2,AUTO_SUGGESTED,DUPLICATE_RECORD,DUPLICATE_RECORD,True,0.98,NO_TRIPLE_MATCH,"An extra bank credit (UTR929750017012) of 25400.00 INR exists for order ORD-2026-0120, which already has a valid matched triple across Razorpay, Bank, and Ledger.",Review the second bank receipt with the banking team to confirm duplicate posting and initiate refund or reversal if necessary.,[272],,,2026-09-04T15:29:50.509943,Second bank UTR posted for ORD-2026-0120 after a valid triple already exists
